exp_id,task,config,dataset,edge,ratio,road_thresh,itsc_thresh,topo_thresh,road_nms,itsc_nms,nbr_radius,max_nbr_q,APLS,TOPO_Pre,TOPO_Rec,TOPO_F1
exp_base_ext,extraction,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0,0.341,0.195,0.705,16,8,64,16,0.6964559915730337,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_base_upd,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16,0.6964103146067416,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_base_full,full,config/toponet_vitb_256_spacenet.yaml,spacenet,2,1,0.341,0.195,0.705,16,8,64,16,0.919672456582633,0.971734981335301,0.9026564147097986,0.9359227919536514
exp_edge_02,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16,0.6965864971910112,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_edge_04,update,config/toponet_vitb_256_spacenet.yaml,spacenet,4,0.5,0.341,0.195,0.705,16,8,64,16,0.6968140140449438,0.9194493820369919,0.7052788604204719,0.7982482182946776
exp_edge_06,update,config/toponet_vitb_256_spacenet.yaml,spacenet,6,0.5,0.341,0.195,0.705,16,8,64,16,0.7063054717514125,0.9272467445453064,0.7042552525208934,0.8005119103785371
exp_edge_08,update,config/toponet_vitb_256_spacenet.yaml,spacenet,8,0.5,0.341,0.195,0.705,16,8,64,16,0.7113130957746479,0.9310337645022152,0.7026964243339088,0.800908377307913
exp_edge_10,update,config/toponet_vitb_256_spacenet.yaml,spacenet,10,0.5,0.341,0.195,0.705,16,8,64,16,0.7038837521126761,0.920680266883477,0.7023086531970709,0.7968036137029993
exp_edge_12,update,config/toponet_vitb_256_spacenet.yaml,spacenet,12,0.5,0.341,0.195,0.705,16,8,64,16,0.708761228169014,0.9296546062639854,0.7051596891437146,0.8019931743998459
exp_edge_14,update,config/toponet_vitb_256_spacenet.yaml,spacenet,14,0.5,0.341,0.195,0.705,16,8,64,16,0.7076089746478873,0.9299844845009706,0.7079667161611247,0.8039287877524187
exp_edge_16,update,config/toponet_vitb_256_spacenet.yaml,spacenet,16,0.5,0.341,0.195,0.705,16,8,64,16,0.7051289971751412,0.9298518922926581,0.6983023176649338,0.7976120781458411
exp_ratio_0.25,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.25,0.341,0.195,0.705,16,8,64,16,0.6963877808988764,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_ratio_0.75,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.75,0.341,0.195,0.705,16,8,64,16,0.6963661264044944,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_nms_r8,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,8,8,64,16,0.6942131938202247,0.8921949978544632,0.7391988456248089,0.808522742834082
exp_nms_r32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,32,8,64,16,0.4144022259887005,0.961514560522462,0.3222296332721193,0.4826950504946676
exp_nms_i4,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,4,64,16,0.696801606741573,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_nms_i16,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,16,64,16,0.6964829325842696,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_nbr_r32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,32,16,0.6761900898876404,0.9222713464187884,0.6811076316078809,0.7835528107424944
exp_nbr_r128,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,128,16,0.6970981488764045,0.9113688294742577,0.7091985104304324,0.7976730129016217
exp_nbr_q8,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,8,0.6909162612359551,0.9151160054264644,0.7020914052061439,0.7945735073340688
exp_nbr_q32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,32,0.6976342977528089,0.9131711253513445,0.7081073283245173,0.7976707078411729
